category,name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,cim_latitude,cim_longitude,easting,northing
nightclub,McQueen,55-61 Tabernacle Street; Shoreditch; London EC2A 4,Islington,55-61 Tabernacle S,Islington,www.mcqueen-shoreditch.co.uk/,,E09000019,Bunhill,E05013699,51.524025,-0.08587,532888.3151,182303.872
nightclub,Piccadilly Institute,The London Pavillion; Piccadilly; London W1V 9LA; ,Piccadilly,The London Pavilio,Westminster,www.piccadillyinstitute.com/,,E09000033,St James's,E05013806,51.510378,-0.133987,529589.2166,180700.0858
nightclub,The Hoxton Pony,104-108 Curtain Rd,,104-108 Curtain Rd,Hackney,http://www.thehoxtonpony.com,10008241848,E09000012,Hoxton East & Shoreditch,E05009377,51.52491417,-0.078535012,533394.5311,182416.0972
nightclub,Junction House,"578 Kingsland Road, London, E8 4AH",Hackney,578 Kingsland Road,Hackney,,1.00E+11,E09000012,Dalston,E05009370,51.545587,-0.075603,533537.4282,184720.3342
nightclub,Nomad London,58 Old Street; Hoxton; London EC1V 9AJ; United Kin,Islington,58 Old Street,Islington,www.nomadlondon.com/,,E09000019,Bunhill,E05013699,51.524066,-0.095805,532199.0236,182290.4341
nightclub,Ladybird / Basement Club,70 Upper Street; Islington; London N1 0NY; United ,Islington,70 Upper Street,Islington,www.ladybirdbar.co.uk,10091816806,E09000019,St Mary's & St James',E05013710,51.535991,-0.104013999,531595.198,183601.7197
nightclub,Hootananny Brixton,"95 Effra Road, Brixton, London, SW2 1DF",Brixton,,Lambeth,https://www.hootanannybrixton.co.uk/,,E09000022,Herne Hill & Loughborough Junction,E05014104,51.455382,-0.113254,531185.4564,174621.3697
nightclub,Porky's Wine Bar,"23-27 Sternhold Avenue, Streatham Hill, SW2 4PA",Lambeth,23-27 Sternhold Av,Lambeth,,1.00E+11,E09000022,Streatham Hill West & Thornton,E05014114,51.43846,-0.127680999,530231.2468,172713.9146
nightclub,Brixton Jamm Limited,261 Brixton Rd,,,Lambeth,,1.00E+11,E09000022,Brixton North,E05014096,51.47028117,-0.110280436,531349.2983,176283.4847
nightclub,The Steel Yard,13-16 Allhallows Lane,City Of London,13-16 Allhallows L,City of London,https://thesteelyard.london/,95510144,E09000001,Dowgate,E05009303,51.50948953,-0.08895602,532716.4746,180681.9123
nightclub,Montezuma London Club,17 Harrington Road,Kensington And Chelsea,17 Harrington Road,Kensington and Chelsea,www.montezumalondon.com,217036855,E09000020,Courtfield,E05009393,51.49347152,-0.174155601,526848.8459,178749.7638
nightclub,The London Reign,215-217 Piccadilly,City Of Westminster,215-217 Piccadilly,Westminster,,10033541003,E09000033,St James's,E05013806,51.50900894,-0.133381232,529635.1356,180548.9166
nightclub,Vuvu Club,30 East Street,,30 East Street,Bromley,,10070003296,E09000006,Bromley Town,E05013991,51.40660746,0.017983696,540452.3971,169440.7961
nightclub,Vision Video Bar,588 Kingsland Road,Hackney,588 Kingsland Road,Hackney,,10008291713,E09000012,Dalston,E05009370,51.54538817,-0.073878909,533657.5523,184701.3749
nightclub,The Lighthouse Bar And Club,62 Rivington Street,Hackney,62 Rivington Stree,Hackney,,10091889776,E09000012,Hoxton East & Shoreditch,E05009377,51.52564358,-0.078042927,533426.5337,182498.106
nightclub,Trapeze Bar,89 Great Eastern Street,Hackney,89 Great Eastern S,Hackney,www.trapezebar.co.uk,10091904454,E09000012,Hoxton East & Shoreditch,E05009377,51.52518388,-0.081825316,533165.5071,182440.0951
nightclub,Fold,"Gillian House, Stephenson St, London E16 4SA, UK",Stephenson Street,Gillian House,Newham,https://www.fold.london,,E09000025,Canning Town North,E05013906,51.519032,0.003758,539120.8391,181915.1182
nightclub,The George & Dragon,2 Blackheath Hill,,,Greenwich,http://www.georgedragon.com/,,E09000011,Greenwich Park,E05014081,51.4733623,-0.016543765,537850.1087,176798.3551
nightclub,W London,"10 Wardour Street, Leicester Square, London, W1D 6",,,Westminster,http://www.westrockshotel.co.uk,10033615454,E09000033,St James's,E05013806,51.510266,-0.131580999,529756.4862,180691.8904
nightclub,Union Bar,"Building 5, Chiswick Park, 566 Chiswick High Road,",,,Hounslow,www.faucetinn.com,1.00E+11,E09000018,Chiswick Gunnersbury,E05013609,51.496128,-0.272920001,519986.0361,178878.8424
nightclub,Village Soho,81 Wardour Street,,,Westminster,,10033570802,E09000033,St James's,E05013806,51.51190632,-0.131778198,529738.1438,180873.9465
nightclub,Colour Factory,"8 Queen's Yard, Hackney Wick, London E9 5EN",Hackney Wick,,Tower Hamlets,https://www.colourfactory.com,,E09000030,Bow East,E05009319,51.543183,-0.022663999,537215.1921,184550.8872
nightclub,Mascara Bar,72 Stamford Hill; Stoke Newington; London N16 6XS,,,Hackney,http://www.mascarabar.co.uk,10091817946,E09000012,Cazenove,E05009368,51.567041,-0.072955,533658.2307,187110.9025
nightclub,Press,"47 Whitcomb Street, London, WC2H 7DH",,,Westminster,http://www.sgul.ac.uk,1.00E+11,E09000033,St James's,E05013806,51.509824,-0.131516,529762.252,180642.8546
nightclub,Thirst,"53 Greek St, Soho, London W1D 3DR, UK",,,Westminster,,10033593423,E09000033,West End,E05013808,51.514284,-0.131226999,529769.6348,181139.3234
nightclub,Tramp,"40 Jermyn St, St. James's, London SW1Y 6DN",,,Westminster,www.tramp.co.uk/exclusive-hire.php,,E09000033,St James's,E05013806,51.508117,-0.137622999,529343.3172,180442.234
nightclub,Vout-O-Reenee's,"The Crypt, 30 Prescot St, London E1 8BB, United Ki",,,Tower Hamlets,www.vout-o-reenees.com,6086724,E09000030,Whitechapel,E05009336,51.51139,-0.071967,533889.7769,180924.1886
nightclub,E1,"110 Pennington Street, Wapping, London E1W 2BB",,110 Pennington Str,Tower Hamlets,https://e1ldn.co/our-story,,E09000030,St Katharine's & Wapping,E05009330,51.509058,-0.061663999,534611.5455,180683.7632
nightclub,Mannequin Magazine,"378 Kingsland Road, London, E8 4AA",,,Hackney,,1.00E+11,E09000012,London Fields,E05009381,51.54116,-0.076307,533501.5587,184226.748
nightclub,Floripa,"91-93 Great Eastern Street, Shoreditch, London EC2",,,Hackney,www.floripalondon.com,,E09000012,Hoxton East & Shoreditch,E05009377,51.525828,-0.083386,533055.3711,182508.8827
nightclub,Soda Room,"Downstairs, The Botanist, Broadgate Circle, London",,,City of London,,,E09000001,Bishopsgate,E05009292,51.518972,-0.083281,533082.6351,181746.6762
nightclub,Pryzm Kingston,"154 Clarence Street Kingston Upon Thames KT1 1QP, ",Kingston,154 Clarence Stree,Kingston upon Thames,https://www.pryzm.co.uk/club/kingston-upon-thames/,,E09000021,Kingston Town,E05013938,51.411524,-0.299859,518334.5237,169426.8241
nightclub,Hoxton Basement,"12-18 Hoxton St, N1 6NG (Basement Entrance on Drys",,,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,51.527985,-0.079147,533343.1103,182756.4624
nightclub,Addictive Bar,28 Park Royal Road London NW10 7JW,,,Ealing,,12141434,E09000009,North Acton,E05013527,51.526758,-0.267182999,520303.5793,182294.4011
nightclub,La Pollera Colora,"4-6 London Bridge Street, London, SE1 9SG",,,Southwark,,,E09000028,London Bridge & West Bermondsey,E05011104,51.505069,-0.087492,532830.9153,180192.9993
nightclub,Peckham Audio,"133a Rye Lane, Peckham, London, SE15 4BQ",Peckham,,Southwark,https://www.peckhamaudio.co.uk/,,E09000028,Rye Lane,E05011113,51.469798,-0.068263999,534268.8039,176305.9278
nightclub,Le Fez,"200b Upper Richmond Rd, Putney, London SW15 2SH, U",,200 Upper Richmond,Wandsworth,Home | Le Fez,,E09000032,East Putney,E05014011,51.460833,-0.216609,523990.2904,175047.67
nightclub,Scotch,"13 Masons Yard, St James, London SW1A 1PL",,,Westminster,,,E09000033,St James's,E05013806,51.507769,-0.137021,529386.0774,180404.5991
nightclub,Bar Rumba,36 Shaftesbury Avenue; Soho; London W1D 7EP; Unite,,36 Shaftesbury Ave,Westminster,https://barrumbalondon.com/,,E09000033,St James's,E05013806,51.511138,-0.133503999,529620.5753,180785.4532
nightclub,Night Tales Loft,"207, 1 Westgate St, Hackney, London E8 3RL",,,Hackney,,,E09000012,London Fields,E05009381,51.537584,-0.057723,534800.7635,183863.1908
nightclub,Salt Lounge,269 West End Lane,,,Camden,,5163150,E09000007,West Hampstead,E05013671,51.550528,-0.191586,525482.0186,185064.5331
nightclub,Electric Ballroom,184 Camden High St; Camden Town; London NW1 8QP; U,London,184 Camden High St,Camden,https://www.electricballroom.co.uk/,5021260,E09000007,Camden Town,E05013655,51.539681,-0.143063001,528876.7018,183942.5999
nightclub,Electrowerkz,7 Torrens Street; Islington; London EC1V 1NQ; Unit,Islington,7 Torrens Street,Islington,https://www.electrowerkz.co.uk,5300092109,E09000019,St Peter's & Canalside,E05013711,51.532528,-0.105192001,531523.4813,183214.5122
nightclub,Koko,1a Camden High Street; Camden Town; London NW1 7JE,London,1A Camden High St,Camden,https://www.koko.co.uk/,,E09000007,Regent's Park,E05013668,51.534617,-0.138338,529218.6937,183387.803
nightclub,Lafayette London,"11 Goods Way, Kings Cross, London N1C 4DP",Kings Cross,11 Goods Way,Camden,What’s On - Lafayette London,,E09000007,King's Cross,E05013666,51.534613,-0.125075999,530138.4644,183410.8402
nightclub,Grow,98C Wallis Road; Main Yard; London E9 5LN,,,Hackney,www.grow-hackney.squarespace.com,,E09000012,Hackney Wick,E05009374,51.544161,-0.023633,537145.0638,184657.8281
nightclub,The Garage,20-26 Highbury Corner,Islington,20-26 Highbury Cor,Islington,www.thegarage.london,10008978416,E09000019,Highbury,E05013704,51.54619942,-0.102130813,531696.3309,184740.3076
nightclub,Biddle Bros,"88 Lower Clapton,  London, E5 0QR",Hackney,88 Lower Clapton R,Hackney,,1.00E+11,E09000012,Springfield,E05009383,51.571495,-0.066167001,534115.5808,187618.6311
nightclub,Boom Boom Club,Sutton United Football Club The Borough Sports Gro,Gander Green Ln,Sutton United Foot,Sutton,www.feenstra.co.uk/boomboom,,E09000029,Sutton West & East Cheam,E05013768,51.36708629,-0.202794141,525205.5173,164646.3757
nightclub,St. Moritz Club,159 Wardour Street; W1F 8WH,Wardour Street,159 Wardour St,Westminster,www.stmoritzclub.co.uk,10033622399,E09000033,West End,E05013808,51.514467,-0.135026,529505.5273,181152.9497
nightclub,Grace (The)/Garage (The),20-22 Highbury Corner Highbury East,,20-22 Highbury Cor,Islington,www.thegrace.london,,E09000019,Highbury,E05013704,51.54624003,-0.10241761,531676.3288,184744.307
